spp,A2_guild,A2_fg,A2_size,A2_schooling
Dascyllus auripinnis,Planktivore,Diurnal planktivore,16,4
Dascyllus reticulatus,Planktivore,Diurnal planktivore,8,4
Dascyllus trimaculatus,Planktivore,Diurnal planktivore,14,3
Lepidozygus tapeinosoma,Planktivore,Diurnal planktivore,10,5
Neopomacentrus metallicus,Planktivore,Diurnal planktivore,8,5
Plectroglyphidodon dickii,Omnivore,Herbivore/Corallivore,11,1
Plectroglyphidodon imparipennis,Planktivore,Diurnal planktivore,6,1
Plectroglyphidodon johnstonianus,Carnivore,Corallivore,12,1
Plectroglyphidodon lacrymatus,Herbivore,Grazer,10,1
Plectroglyphidodon phoenixensis,Herbivore,Grazer,8.5,1
Pomacentrus brachialis,Omnivore,Grazer/Diurnal planktivore,10,4
Pomacentrus coelestis,Planktivore,Diurnal planktivore,7,4
Pomacentrus philippinus,Planktivore,Diurnal planktivore,10.9,4
Pomacentrus vaiuli,Omnivore,Grazer/Diurnal planktivore,10,3
Pomachromis guamensis,Planktivore,Diurnal planktivore,6,4
Pomachromis richardsoni,Planktivore,Diurnal planktivore,6,4
Stegastes albifasciatus,Herbivore,Grazer,11,3
Stegastes aureus,Herbivore,Grazer,11,3
Stegastes fasciolatus,Herbivore,Grazer,16,3
Stegastes lividus,Herbivore,Grazer,10.9,3
Stegastes nigricans,Herbivore,Grazer,14,4
Stegastes sp.,Herbivore,Grazer,15.5,3
Pomacentridae sp.,Planktivore,Diurnal planktivore,11.4,4
Heteropriacanthus cruentatus,Planktivore,Nocturnal planktivore,32,3
Priacanthus meeki,Planktivore,Nocturnal planktivore,33,1
Priacanthus sp.,Planktivore,Nocturnal planktivore,38,1
Nemateleotris helfrichi,Planktivore,Diurnal planktivore,6.3,2
Nemateleotris magnifica,Planktivore,Diurnal planktivore,9,2
Ptereleotris evides,Planktivore,Diurnal planktivore,18,4
Ptereleotris heteroptera,Planktivore,Diurnal planktivore,12,4
Ptereleotris microlepis,Planktivore,Diurnal planktivore,13,4
Ptereleotris zebra,Planktivore,Diurnal planktivore,12,4
Calotomus carolinus,Herbivore,Scraper,54,3
Calotomus zonarchus,Herbivore,Scraper,30,3
Cetoscarus ocellatus,Herbivore,Excavator,90,3
Chlorurus frontalis,Herbivore,Excavator,50,3
Chlorurus japanensis,Herbivore,Excavator,31,3
Chlorurus microrhinos,Herbivore,Excavator,80,3
Chlorurus perspicillatus,Herbivore,Excavator,62,3
Chlorurus sordidus,Herbivore,Excavator,40,3
Hipposcarus longiceps,Herbivore,Scraper,60,4
Scarus altipinnis,Herbivore,Scraper,60,5
Scarus dubius,Herbivore,Scraper,38,3
Scarus festivus,Herbivore,Scraper,45,3
Scarus forsteni,Herbivore,Scraper,55,1
Scarus frenatus,Herbivore,Scraper,47,3
Scarus ghobban,Herbivore,Scraper,90,3
Scarus globiceps,Herbivore,Scraper,31,3
Scarus niger,Herbivore,Scraper,43,1
Scarus oviceps,Herbivore,Scraper,38,1
Scarus psittacus,Herbivore,Scraper,33,4
Scarus rubroviolaceus,Herbivore,Scraper,70,3
Scarus schlegeli,Herbivore,Scraper,38,4
Scarus spinus,Herbivore,Scraper,31,3
Scarus tricolor,Herbivore,Scraper,55,1
Scarus xanthopleura,Herbivore,Scraper,55,1
Scarus sp.,Herbivore,Scraper,130,3
Scaridae sp.,Herbivore,Scraper,57.3,3
Euthynnus affinis,Carnivore,Diurnal piscivore,100,5
Gymnosarda unicolor,Carnivore,Diurnal piscivore,248,1
Thunnus albacares,Carnivore,Generalist carnivore,210,4
Pterois antennata,Carnivore,Generalist carnivore,20,1
Pterois sphex,Carnivore,Generalist carnivore,22,1
Pterois volitans,Carnivore,Generalist carnivore,38,1
Scorpaenopsis cacopsis,Carnivore,Generalist carnivore,51,1
Scorpaenopsis diabolus,Carnivore,Generalist carnivore,30,1
Scorpaenopsis sp.,Carnivore,Generalist carnivore,30,1
Sebastapistes coniorta,Carnivore,Generalist carnivore,10,1
Sebastapistes cyanostigma,Carnivore,Generalist carnivore,7,1
Aethaloperca rogaa,Carnivore,Diurnal piscivore,60,1
